titel,prijs,locatie,heeft_tuin,heeft_terras,heeft_zonnepanelen,afstand_centrum,buurtveiligheid,staat_pand,bouwjaar,slaapkamers,oppervlakte_slaapkamer_1,oppervlakte_slaapkamer_2,oppervlakte_slaapkamer_3,oppervlakte_slaapkamer_4,oppervlakte_slaapkamer_5,oppervlakte_slaapkamer_6,oppervlakte,bewoonbare_opp,oppervlakte_woonruimte,zolder,oppervlakte_zolder,kelder,oppervlakte_kelder,garage,aantal_garages,aantal_parkeerplaatsen,bemeubeld,oppervlakte_keuken,keukenuitrusting,badkamers,aantal_douchecabines,aantal_baden,aantal_toiletten,type_verwarming,type_glas,lift,toegang_mindervaliden,aantal_gevels,breedte_voorgevel,aantal_verdiepingen,terras,oppervlakte_terras,totale_opp,diepte_perceel,breedte_voorkant_terras,aansluiting_riolering,aansluiting_waterleiding,aansluiting_gasleiding,zwembad,tuin
Grond te koop,190000,9600 Ronse,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,917.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,67500,6200 Châtelet,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,630.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,85000,6200 Châtelet,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,680.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis gemengd gebruik te koop,380000,7110 Strépy-Bracquegnies,0,0,0,5.0,7,Normaal,None,14,None,None,None,None,None,None,426.0,80.0,None,None,None,None,None,None,2,2,None,None,None,3,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,649000,1933 Sterrebeek,0,0,0,5.0,7,None,None,4,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,159000,5060 Sambreville,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,7232.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,295000,9940 Evergem,0,0,0,5.0,7,Te renoveren,1981,3,None,None,None,None,None,None,198.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,140000,7340 Colfontaine,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,170.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,423000,1853 Strombeek-Bever,0,0,0,5.0,7,Normaal,1969,3,None,None,None,None,None,None,190.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Bungalow te koop,435000,9840 De Pinte,0,0,0,5.0,7,None,1977,2,None,None,None,None,None,None,166.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,170000,8520 Kuurne,0,0,0,5.0,7,Te renoveren,1977,3,None,None,None,None,None,None,109.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,420000,8510 Bellegem,0,0,0,5.0,7,Normaal,1988,4,None,None,None,None,None,None,217.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,320000,9620 Zottegem,0,0,0,5.0,7,None,1946,3,None,None,None,None,None,None,11.0,80.0,None,None,None,None,None,None,2,2,None,None,None,3,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,320000,9620 Zottegem,0,0,0,5.0,7,None,1946,3,None,None,None,None,None,None,11.0,80.0,None,None,None,None,None,None,2,2,None,None,None,3,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,390000,1030 Schaarbeek,0,0,0,5.0,7,Te renoveren,1800,4,None,None,None,None,None,None,177.0,80.0,None,None,None,None,None,None,2,2,None,None,None,3,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,135000,6032 Mont-sur-Marchienne,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,209000,8500 Kortrijk,0,0,0,5.0,7,None,1919,2,None,None,None,None,None,None,90.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop (Nieuwbouwproject),540000,8680 Bovekerke,0,0,0,5.0,7,Nieuw pand,2025,2,None,None,None,None,None,None,180.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,105000,8600 Diksmuide,0,0,0,5.0,7,None,1931,2,None,None,None,None,None,None,165.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,339000,9120 Beveren,0,0,0,5.0,7,Uitstekend,1995,2,None,None,None,None,None,None,101.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
